city,country,venue,capacity,matches_hosted,date,date_type,url,prices_found,median_price,error
Atlanta,USA,Mercedes-Benz Stadium,71000,6,2026-04-19,baseline,"https://www.booking.com/searchresults.html?ss=Atlanta, Georgia&checkin=2026-04-19&checkout=2026-04-20&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Atlanta,USA,Mercedes-Benz Stadium,71000,6,2026-06-23,match,"https://www.booking.com/searchresults.html?ss=Atlanta, Georgia&checkin=2026-06-23&checkout=2026-06-24&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[45.0, 45.0, 87.0, 87.0, 90.0, 90.0, 108.0, 108.0, 109.0, 109.0, 113.0, 113.0, 114.0, 114.0, 116.0, 116.0, 127.0, 127.0, 132.0, 132.0, 135.0, 135.0, 135.0, 135.0, 137.0]",114.0,
Atlanta,USA,Mercedes-Benz Stadium,71000,6,2026-04-28,baseline,"https://www.booking.com/searchresults.html?ss=Atlanta, Georgia&checkin=2026-04-28&checkout=2026-04-29&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Atlanta,USA,Mercedes-Benz Stadium,71000,6,2026-07-01,match,"https://www.booking.com/searchresults.html?ss=Atlanta, Georgia&checkin=2026-07-01&checkout=2026-07-02&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[45.0, 45.0, 91.0, 91.0, 104.0, 104.0, 107.0, 107.0, 113.0, 113.0, 117.0, 117.0, 142.0, 142.0, 143.0, 143.0, 144.0, 144.0, 144.0, 144.0, 147.0, 147.0, 148.0, 148.0, 149.0]",142.0,
Atlanta,USA,Mercedes-Benz Stadium,71000,6,2026-05-06,baseline,"https://www.booking.com/searchresults.html?ss=Atlanta, Georgia&checkin=2026-05-06&checkout=2026-05-07&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Boston,USA,Gillette Stadium,65878,6,2026-06-16,match,"https://www.booking.com/searchresults.html?ss=Foxborough, Massachusetts&checkin=2026-06-16&checkout=2026-06-17&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[240.0, 240.0, 263.0, 263.0, 281.0, 281.0, 296.0, 296.0, 309.0, 309.0, 319.0, 319.0, 320.0, 320.0, 326.0, 326.0, 339.0, 339.0, 347.0, 347.0, 368.0, 368.0, 379.0, 379.0, 382.0]",320.0,
Boston,USA,Gillette Stadium,65878,6,2026-04-21,baseline,"https://www.booking.com/searchresults.html?ss=Foxborough, Massachusetts&checkin=2026-04-21&checkout=2026-04-22&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Boston,USA,Gillette Stadium,65878,6,2026-06-23,match,"https://www.booking.com/searchresults.html?ss=Foxborough, Massachusetts&checkin=2026-06-23&checkout=2026-06-24&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[281.0, 281.0, 284.0, 284.0, 293.0, 293.0, 297.0, 297.0, 347.0, 347.0, 357.0, 357.0, 368.0, 368.0, 390.0, 390.0, 399.0, 399.0, 399.0, 399.0, 399.0, 399.0, 399.0, 399.0, 409.0]",368.0,
Boston,USA,Gillette Stadium,65878,6,2026-04-28,baseline,"https://www.booking.com/searchresults.html?ss=Foxborough, Massachusetts&checkin=2026-04-28&checkout=2026-04-29&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Boston,USA,Gillette Stadium,65878,6,2026-06-30,match,"https://www.booking.com/searchresults.html?ss=Foxborough, Massachusetts&checkin=2026-06-30&checkout=2026-07-01&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[91.0, 91.0, 134.0, 134.0, 157.0, 157.0, 173.0, 173.0, 178.0, 178.0, 179.0, 179.0, 183.0, 183.0, 186.0, 186.0, 188.0, 188.0, 192.0, 192.0, 195.0, 195.0, 199.0, 199.0, 199.0]",183.0,
Boston,USA,Gillette Stadium,65878,6,2026-05-05,baseline,"https://www.booking.com/searchresults.html?ss=Foxborough, Massachusetts&checkin=2026-05-05&checkout=2026-05-06&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
