city,country,venue,capacity,matches_hosted,date,date_type,url,prices_found,median_price,error
Guadalajara,Mexico,Estadio Akron,49850,3,2026-06-12,match,"https://www.booking.com/searchresults.html?ss=Guadalajara, Mexico&checkin=2026-06-12&checkout=2026-06-13&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[23.0, 23.0, 29.0, 29.0, 33.0, 33.0, 34.0, 34.0, 39.0, 39.0, 42.0, 42.0, 43.0, 43.0, 44.0, 44.0, 48.0, 48.0, 55.0, 55.0, 57.0, 57.0, 57.0, 57.0, 61.0]",43.0,
Guadalajara,Mexico,Estadio Akron,49850,3,2026-04-17,baseline,"https://www.booking.com/searchresults.html?ss=Guadalajara, Mexico&checkin=2026-04-17&checkout=2026-04-18&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Guadalajara,Mexico,Estadio Akron,49850,3,2026-06-18,match,"https://www.booking.com/searchresults.html?ss=Guadalajara, Mexico&checkin=2026-06-18&checkout=2026-06-19&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[29.0, 29.0, 29.0, 29.0, 34.0, 34.0, 37.0, 37.0, 39.0, 39.0, 42.0, 42.0, 43.0, 43.0, 55.0, 55.0, 61.0, 61.0, 61.0, 61.0, 64.0, 64.0, 71.0, 71.0, 74.0]",43.0,
Guadalajara,Mexico,Estadio Akron,49850,3,2026-04-23,baseline,"https://www.booking.com/searchresults.html?ss=Guadalajara, Mexico&checkin=2026-04-23&checkout=2026-04-24&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Guadalajara,Mexico,Estadio Akron,49850,3,2026-06-25,match,"https://www.booking.com/searchresults.html?ss=Guadalajara, Mexico&checkin=2026-06-25&checkout=2026-06-26&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[29.0, 29.0, 33.0, 33.0, 34.0, 34.0, 39.0, 39.0, 42.0, 42.0, 43.0, 43.0, 44.0, 44.0, 55.0, 55.0, 59.0, 59.0, 61.0, 61.0, 61.0, 61.0, 63.0, 63.0, 64.0]",44.0,
Guadalajara,Mexico,Estadio Akron,49850,3,2026-04-30,baseline,"https://www.booking.com/searchresults.html?ss=Guadalajara, Mexico&checkin=2026-04-30&checkout=2026-05-01&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Monterrey,Mexico,Estadio BBVA,53500,3,2026-06-13,match,"https://www.booking.com/searchresults.html?ss=Monterrey, Mexico&checkin=2026-06-13&checkout=2026-06-14&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[38.0, 38.0, 59.0, 59.0, 59.0, 59.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 68.0, 68.0, 68.0, 68.0, 78.0]",67.0,
Monterrey,Mexico,Estadio BBVA,53500,3,2026-04-18,baseline,"https://www.booking.com/searchresults.html?ss=Monterrey, Mexico&checkin=2026-04-18&checkout=2026-04-19&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Monterrey,Mexico,Estadio BBVA,53500,3,2026-06-19,match,"https://www.booking.com/searchresults.html?ss=Monterrey, Mexico&checkin=2026-06-19&checkout=2026-06-20&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[43.0, 43.0, 59.0, 59.0, 63.0, 63.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 78.0, 78.0, 84.0, 84.0, 86.0, 86.0, 89.0, 89.0, 90.0, 90.0, 96.0]",67.0,
Monterrey,Mexico,Estadio BBVA,53500,3,2026-04-24,baseline,"https://www.booking.com/searchresults.html?ss=Monterrey, Mexico&checkin=2026-04-24&checkout=2026-04-25&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
Monterrey,Mexico,Estadio BBVA,53500,3,2026-06-24,match,"https://www.booking.com/searchresults.html?ss=Monterrey, Mexico&checkin=2026-06-24&checkout=2026-06-25&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price","[59.0, 59.0, 63.0, 63.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0, 68.0, 68.0, 68.0, 68.0, 81.0, 81.0, 84.0, 84.0, 84.0]",67.0,
Monterrey,Mexico,Estadio BBVA,53500,3,2026-04-29,baseline,"https://www.booking.com/searchresults.html?ss=Monterrey, Mexico&checkin=2026-04-29&checkout=2026-04-30&group_adults=2&no_rooms=1&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&order=price",[],,
